No,Title,Name,Country,Latitude,Longitude
1,URA,Urban Redevelopment Authority,Singapore,1.2795626,103.8453109
2,HDB,Housing and Development Board,Singapore,1.3167079,103.8788009
3,LTA,Land Transport Authority,Singapore,1.35658,103.8368282
4,BCA,Building and Construction Authority,Singapore,1.333653,103.7438285
5,NEA,National Environment Agency,Singapore,1.361273,103.839252
6,NParks,National Parks Board,Singapore,1.3157453,103.8162786
7,NUS,National University of Singapore,Singapore,1.2966426,103.7763939
8,NTU,Nanyang Technological University,Singapore,1.3483099,103.6831347
9,SUTD,Singapore University of Technology and Design,Singapore,1.3405005,103.9631207
10,A*Star,Agency for Science Technology and Research,Singapore,1.2996308,103.7876541
11,MIT,Singapore-MIT Alliance,Singapore,1.347542,103.6823469
12,Yale NUS,Yale-NUS College,Singapore,1.3070956,103.7722851
13,TUM,TUM Asia | German Institute Of Science And Technology,Singapore,1.307709,103.778135
14,UI,Universitas Indonesia,Indonesia,-6.3680739,106.8295587
15,Chulalongkorn,Chulalongkorn University,Thailand,13.7386223,100.530947
16,Tarumanagara Uni.,Tarumanagara University,Indonesia,-6.168918,106.7885856
17,IIHS,Indian Institute for Human Settlements,India,13.0056031,77.5809431
18,MIT,Massachusetts Institute of Technology,United States,42.360091,-71.09416
19,Harvard,Harvard University,United States,42.3770029,-71.1166601
20,NYU,New York University,United States,40.7295134,-73.9964609
21,UCL,London's Global University,United Kingdom,51.5097971,-0.0739568
22,TU Delft,Delft University of Technology,Netherlands,52.0007487,4.3713784
23,ETHZ,ETH Zürich,Switzerland,47.3757226,8.5479407
24,UAS,Switzerland's Universities of Applied Sciences,Switzerland,46.399337,6.231758
25,IITM,Indian Institute of Technology Madras,India,12.9907949,80.235684
26,Uni. Leeds,University of Leeds,Australia,53.8066815,-1.5550328
27,Uni. Melbourne,The University of Melbourne,Australia,-37.7963689,144.9611738
28,Northumbria Uni.,Northumbria University,United Kingdom,54.9768904,-1.607595
29,IIT Technion,Technion - Israel Institute of Technology,Israel,32.7767783,35.0231271
30,Peking Uni.,Peking University,China,39.986913,116.3058739
31,City Uni. Hong Kong,City University of Hong Kong,China,22.337155,114.172807
32,George Mason Uni,George Mason University,USA,38.8316341,-77.3088594
33,Uni. British Columbia,The University of British Columbia,Canada,49.2606052,-123.2459939
34,IRRI,International Rice Research Institute,Philippines,14.6782999,121.0650024
35,German Uni. Oman,German University of Technology in Oman,Oman,23.636414,58.045999
36,Chulalongkorn Uni.,Chulalongkorn University,Thailand,13.7386223,100.530947
37,SAP,SAP Asia Pte Ltd,Singapore,1.2750159,103.797908
38,Schindler,Schindler Group,Singapore,1.336456,103.9094307
39,Shell,Shell Singapore,Singapore,1.3061146,103.7911689
40,Siemens,Siemens Pte Ltd,Singapore,1.3275947,103.8710213
41,Borda,Borda,International,40.7602803,-73.9798184
42,Mercy Corps,Mercy Corps,International,38.9044073,-77.0428597
43,KPC,KPC,International,51.8736186,-8.3920283
44,World Bank,World Bank,International,38.898947,-77.0424693
45,ADB,Asian Development Bank,International,14.5607954,121.0281834
46,UN Habitat,United Nations Human Settlements Programme,International,-1.2326911,36.8178785
47,Tange Associates,Tange Associates Asia Pte Ltd,Singapore,1.2979235,103.8475024
