No,Nationality,Based,Latitude,Longitude
1,Netherlands,Switzerland,52.132633,5.291266
2,Liechtenstein,Switzerland,47.166,9.555373
3,Belgium,Singapore,50.503887,4.469936
4,Germany,Singapore,51.165691,10.451526
5,USA,USA,37.09024,-95.712891
6,Germany,Switzerland,51.165691,10.451526
7,Greece,Switzerland,39.074208,21.824312
8,Japan,Singapore,36.204824,138.252924
9,United Kingdom,United Kingdom,55.378051,-3.435973
10,Estonia,Boston,58.595272,25.013607
11,Netherlands,Singapore,52.132633,5.291266
12,United Kingdom,Singapore,55.378051,-3.435973
13,Italy,Switzerland,41.87194,12.56738
14,Switzerland,Switzerland,46.818188,8.227512
15,France,Switzerland,46.227638,2.213749
16,Singapore,Singapore,1.352083,103.819836
17,Germany,Switzerland,51.165691,10.451526
18,China,Singapore,35.86166,104.195397
19,Belgium,Switzerland,50.503887,4.469936
20,China,Singapore,35.86166,104.195397
21,Germany,Singapore,51.165691,10.451526
22,Austria,Switzerland,47.516231,14.550072
23,Germany,Switzerland,51.165691,10.451526
24,Georgia,Singapore,42.315407,43.356892
25,Singapore,Singapore,1.352083,103.819836
26,Greece,Singapore,39.074208,21.824312
27,China,Singapore,35.86166,104.195397
28,Singapore,Singapore,1.352083,103.819836
29,Singapore,Singapore,1.352083,103.819836
30,Germany,Switzerland,51.165691,10.451526
31,Turkey,Singapore,38.963745,35.243322
32,Switzerland,USA,46.818188,8.227512
33,Netherlands,Singapore,,52.132633,5.291266
34,United Kingdom,Singapore,55.378051,-3.435973
35,Netherlands,Singapore,,52.132633,5.291266
36,Germany,Singapore,51.165691,10.451526
37,Switzerland,Switzerland,46.818188,8.227512
38,Switzerland,Switzerland,46.818188,8.227512
39,Germany,Switzerland,51.165691,10.451526
40,Austria,Switzerland,47.516231,14.550072
41,Switzerland,Singapore,46.818188,8.227512
42,Germany,Switzerland,51.165691,10.451526
43,Switzerland,Switzerland,46.818188,8.227512
44,Germany,Switzerland,51.165691,10.451526
45,Austria,Switzerland,47.516231,14.550072
46,Canada,Switzerland,56.130366,-106.346771
47,Singapore,Singapore,1.352083,103.819836
48,China,Singapore,35.86166,104.195397
49,United Kingdom,USA,55.378051,-3.435973
50,India,India,20.593684,78.96288
51,Germany,Singapore,51.165691,10.451526
52,Germany,Switzerland,51.165691,10.451526
53,Germany,Switzerland,51.165691,10.451526
54,Taiwan,Singapore,23.69781,120.960515
55,Portugal,Singapore,39.399872,-8.224454
56,United Kingdom,United Kingdom,55.378051,-3.435973
57,Spain,Australia,40.463667,-3.74922
58,Germany,Switzerland,51.165691,10.451526
59,Canada,Switzerland,56.130366,-106.346771
60,Russia,Singapore,61.52401,105.318756
61,Netherlands,Singapore,,52.132633,5.291266
62,Germany,Singapore,51.165691,10.451526
63,United Kingdom,United Kingdom,55.378051,-3.435973
64,Singapore,Singapore,1.352083,103.819836
65,Canada,China,56.130366,-106.346771
66,USA,Hong Kong,37.09024,-95.712891
67,Turkey,Singapore,38.963745,35.243322
68,Israel,Israel,31.046051,34.851612
69,United Kingdom,USA,55.378051,-3.435973
70,United Kingdom,United Kingdom,55.378051,-3.435973
71,Germany,Switzerland,51.165691,10.451526
72,USA,Switzerland,37.09024,-95.712891
73,Serbia,Switzerland,44.016521,21.005859
74,Switzerland,Switzerland,46.818188,8.227512
75,United Kingdom,Singapore,55.378051,-3.435973
76,United Kingdom,Singapore,55.378051,-3.435973
77,United Kingdom,Singapore,55.378051,-3.435973
78,New Zealand,Singapore,-40.900557,174.885971
79,Netherlands,Switzerland,52.132633,5.291266
80,Germany,Switzerland,51.165691,10.451526
81,Germany,Switzerland,51.165691,10.451526
82,USA,Singapore,37.09024,-95.712891
83,Canada,Canada,56.130366,-106.346771
84,Netherlands,Philippines,52.132633,5.291266
85,Switzerland,Singapore,46.818188,8.227512
86,Australia,Singapore,-25.274398,133.775136
87,Indonesia,Indonesia,-0.789275,113.921327
88,Indonesia,Indonesia,-0.789275,113.921327
89,Thailand,Thailand,15.870032,100.992541
90,Germany,Switzerland,51.165691,10.451526
91,Austria,Singapore,47.516231,14.550072
92,Germany,Oman,51.165691,10.451526
93,USA,Switzerland,37.09024,-95.712891
94,Switzerland,Switzerland,46.818188,8.227512
95,Netherlands,Switzerland,52.132633,5.291266
96,Belgium,Singapore,50.503887,4.469936
97,USA,Singapore,37.09024,-95.712891
98,USA,Switzerland,37.09024,-95.712891
99,USA,Singapore,37.09024,-95.712891
100,Germany,Singapore,51.165691,10.451526
101,Indonesia,Indonesia,-0.789275,113.921327
102,Indonesia,Indonesia,-0.789275,113.921327
103,Indonesia,Indonesia,-0.789275,113.921327
